Initializing SD card...card initialized.
Logging to: MLOG11.CSV
millis,stamp,datetime,motion
18063, 1533212265, 2018/8/2 12:17:45, Inactive
36077, 1533212283, 2018/8/2 12:18:3, Inactive
54094, 1533212301, 2018/8/2 12:18:21, Inactive
72112, 1533212319, 2018/8/2 12:18:39, Inactive
90129, 1533212338, 2018/8/2 12:18:58, Inactive
108147, 1533212356, 2018/8/2 12:19:16, Inactive
126314, 1533212374, 2018/8/2 12:19:34, Inactive
144460, 1533212392, 2018/8/2 12:19:52, Inactive
162478, 1533212410, 2018/8/2 12:20:10, Inactive
180495, 1533212428, 2018/8/2 12:20:28, Inactive
198516, 1533212446, 2018/8/2 12:20:46, Inactive
216534, 1533212464, 2018/8/2 12:21:4, Inactive
234551, 1533212482, 2018/8/2 12:21:22, Inactive
252568, 1533212500, 2018/8/2 12:21:40, Inactive
270586, 1533212518, 2018/8/2 12:21:58, Inactive
288604, 1533212536, 2018/8/2 12:22:16, Inactive
306622, 1533212554, 2018/8/2 12:22:34, Inactive
324639, 1533212572, 2018/8/2 12:22:52, Inactive
342657, 1533212590, 2018/8/2 12:23:10, Inactive
360675, 1533212608, 2018/8/2 12:23:28, Inactive
378692, 1533212626, 2018/8/2 12:23:46, Inactive
396713, 1533212644, 2018/8/2 12:24:4, Active
414731, 1533212662, 2018/8/2 12:24:22, Inactive
432748, 1533212680, 2018/8/2 12:24:40, Inactive
450765, 1533212698, 2018/8/2 12:24:58, Inactive
468784, 1533212716, 2018/8/2 12:25:16, Inactive
